sample  ,barcode ,genome
sample1 ,      1 ,/zpool_1TB/home/eduard.perez/Genomes/ecoli/ASM584v2/GCF_000005845.2_ASM584v2_genomic.fna
sample2 ,      2 ,/zpool_1TB/home/eduard.perez/Genomes/ecoli/ASM584v2/GCF_000005845.2_ASM584v2_genomic.fna
sample3 ,      3 ,/zpool_1TB/home/eduard.perez/Genomes/ecoli/ASM584v2/GCF_000005845.2_ASM584v2_genomic.fna
sample4 ,      4 ,/zpool_1TB/home/eduard.perez/Genomes/ecoli/ASM584v2/GCF_000005845.2_ASM584v2_genomic.fna
sample5 ,      5 ,/zpool_1TB/home/eduard.perez/Genomes/ecoli/ASM584v2/GCF_000005845.2_ASM584v2_genomic.fna
